Palabra	Lema	POS	Feats	Significado	Glosa	1267	925	1060
jingu		VERB		moler				
jingunoo		VERB		masticar				
jinìnii		NOUN		araña				
jinta		VERB		se moja				
jíntinii				estaca para sembrar				
jintu				barbecho				
jita		VERB	VerbForm=Fin	canta	?-cantar-?			
jitiaka		NOUN		platanal				
jiyáka		NOUN		polvo				
jiyuu		NOUN		carrizo				
jobe		NOUN		día				
jóbe		NOUN		nombre				
jòò		NUM		seis				
joobe		NOUN		voladero				
joʼö				suena				
jubii		NOUN		lugar arenoso				
juchi		NOUN		sobrina				
júku		NOUN		estaca				
juuchi		NOUN		flama				
juʼü		NUM		cinco				
kä		NOUN		zancudo				
káa		NOUN		filo				
kaaba				suelto				
kàba				feo				
kàchi		NOUN		avispa				
kadi		NOUN		peso($)				
kajobe		ADV		anteayer				
kaka		NOUN		papel				
káka		NOUN		peine				
kaka yòò		NOUN		cal				
kákaa		NOUN		cansancio				
kambo		NOUN		compadre				
kane		VERB		está	?-estar-?			
kaniku				deber (algo pendiente)				
kaníku				algo colgado				
känta				delicado, peligroso				
kantaa		NOUN		guerra				
kanuñ				está (adentro)				
jadii		NOUN		tepache				
karrunti		NOUN		arcoiris				
káya		VERB	VerbForm=Stat|Number=Plur	pequeñas				
keabea		NOUN		hermano(a)				
keadea		NOUN		comezón				
kiana		NOUN		camisa				
kinü	kinü	ADV		mañana en la noche				
koʼo		NOUN		pie				
kuä				negro				
kuaa		NOUN		relámpago				
kuàà		NOUN		derrumbe				
kuaku				derecho				
kubdeabea				amanecer				
kubi		NOUN		lluvia				
kubnoʼö		NOUN		aguacero				
kuch-cheanu		NOUN		jabalí				
kuch-nùni		NOUN		tepexcuintle				
kuchi		NOUN		marrano				
kudiana		NOUN		campamocha				
kudima		NOUN		calzón de manta.				
kudintaa		NOUN		tijera				
kudubi		NOUN		cuchara				
kué				chueco				
kúë				delgado				
kuea				blanco				
kueatea				canasto				
kueatʼichi		NOUN		canasta				
kuëd		VERB		aprender				
kuèè				verde				
kuëe				va a llover				
kuejobe		NOUN		azul cielo				
kuejuku				adornar				
kueten		NOUN		campo				
kuete		NOUN		campo				
kuili				renacuajo				
kuintu				mojado				
kuiñu		NOUN		comadreja				
kuiñú				picudo				
kuíyaa		NOUN		escobilla				
kukáa		NOUN		molcajete				
kukubii		NOUN		búho				
kulanto		NOUN		cilantro				
kunette		NOUN		cienpies				
kúnu				blando				
kunuu				resbaloso				
kuoʼo				rojo				
kuöo				amarillo				
kusanto		NOUN		copal				
kuu		NOUN		víbora				
kúu		NOUN		fierro				
kuuchi		NOUN		algodón				
kuʼu		NOUN		plato				
laasi		NOUN		lodo				
laatu				arado				
labente		NOUN		duende				
laka				chachalaca				
lanti		NOUN		hueso				
lantikud		NOUN		costilla				
leabe				aguado				
leantu		NOUN		lagaña				
leeko		NOUN		coyote				
lï		VERB	VerbForm=Stat|Number=Sing	pequeño				
lii				arrugado				
lítu		NOUN		saquetón				
lö		NOUN		hoyo				
lunchi		NOUN		borrego				
lunti				redondo				
lútii				corto				
luuchi				bonito				
marceja		NOUN		murciélago				
mee				nublado				
meede		NOUN		calceta				
mï		NOUN		camote				
mnoo				arriba				
mogechey		NOUN		axila				
moo				abajo				
muʼu		ADV		aquí				
naʼö								
naama		NOUN		jabón				
nabeánu				aborto				
naboʼoo		NOUN		cereza, capulín				
naíba		NOUN		mercado				
naídii		NOUN		aguacate				
naiyaa		NOUN		salsa				
najaʼa		NOUN		nuez				
naneachea		VERB		borrar				
nanta		NOUN		flor				
nantioö		NOUN		rosa				
ndá				bueno				
ndakuu		NOUN		guarache				
ndee				mucho				
ndete		NOUN		ejote				
ndiʼi		NOUN		mosca				
ndúbi		NOUN		grano				
në		NOUN		mole				
ñoʼö	ñoʼo	NOUN		árbol				
ñoʼo	ñoʼo	NOUN		árbol				
neatuu		NOUN		tomate				
neache		NUM	NumType=Card	siete				
neene		NOUN		guaje				
niini		NOUN		guaje				
nibii		NOUN		papa				
nichama		NUM		once				
nichi		NUM		díez				
nichubi		NUM		doce				
nïi		NOUN		chayote				
