Palabra	Lema	POS	Feats	Significado	Glosa	1301	822	999
káya		VERB	VerbForm=Stat|Number=Plur	pequeñas				
kä				zancudo				
känta				delicado, peligroso				
käntay								
kó				ese				
kú				este				
kúad		VERB	VerbForm=Fin	comprar	?-comprar-2SG			
kúbi								
kúiyu								
kúnu				blando				
kútii		NOUN		sombra				
kúu		NOUN		fierro				
kúë				delgado				
kúʼu		VERB	VerbForm=Fin	tomar	?-tomar-1SG			
kúʼuu		VERB		tomar	?-tomar-?			
küu								
laasi		NOUN		lodo				
laatu				arado				
labente		NOUN		duende				
laka				chachalaca				
lanti		NOUN		hueso				
lantiku								
lantikud		NOUN		costilla				
lantuu								
leabe				aguado				
leantu		NOUN		lagaña				
leeko		NOUN		coyote				
lii				arrugado				
Luis	Luis	PROPN		Luis				
lunch								
lunchi		NOUN		borrego				
lunti				redondo				
luuchi				bonito				
lítu				saquetón				
lï		VERB	VerbForm=Stat|Number=Sing	pequeño				
lö		NOUN		hoyo				
lútii				corto				
maa								
man								
marceja		NOUN		murciélago				
María	María	PROPN		María				
mee				nublado				
meede				calceta				
mii								
mnoo				arriba				
mnòò								
mogechey				axila				
mogeché								
mojobe	mojobe	ADV		hoy				
mojoben	mojobe	ADV		hoy				
moneatea		ADV		semana pasada				
moo				abajo				
mozo		NOUN		mozo				
mu'u				aquí				
mun		ADV		aquí				
muu		ADV		aquí				
muʼu		ADV		aquí				
míi	míi	ADV		ahí				
mï		NOUN		camote				
mïn								
na'ö								
naa								
naama				jabón				
naas								
nabaa								
nabaku		NOUN		mi casa				
nabeanud				recoje				
nabeanud		VERB	VerbForm=Fin	recoger	?-recoger-2SG			
nabeánu				aborto				
nabií								
nabo'oo				cereza/capulín				
naboʼoo								
Nacho	Nacho	PROPN		Nacho				
nadna								
naidii		NOUN		aguacate				
naiyaa		NOUN		salsa				
naiyaá								
naja'a		NOUN		nuez				
najaá								
najaʼa								
naka		VERB	VerbForm=Fin	encontré	?-encontrar-1SG			
nakuu		NOUN		guarache				
nana								
nanad		VERB	VerbForm=Fin	haz	?-hacer-2SG			
naneache								
naneachea				borrar				
nankued		VERB	VerbForm=Fin	levanta	?-levantar-2SG			
nankuníbii								
nanomnod								
nanta		NOUN		flor				
nantibid		VERB		haz	?-hacer-?			
nantioö		NOUN		rosa				
nanuku								
nanáa		VERB	VerbForm=Fin	hacer	?-hacer-?			
nata								
naá								
naíba				mercado				
naídii		NOUN		aguacate				
nbaku		NOUN		casa				
nda								
ndakuu		NOUN		guarache				
ndatan		NOUN		mujeres				
ndaá								
ndea								
ndeayaa		NOUN		durazno				
ndee				mucho				
ndete		NOUN		ejote				
ndeyaa								
ndeyee								
ndimi								
ndios		NOUN		dios				
ndiʼi		NOUN		mosca				
ndoyo								
nduu								
ndá				bueno				
ndáy								
ndéa		NOUN		cacaya				
ndó								
ndúbi		NOUN		grano				
ne								
neache		NUM	NumType=Card	siete				
neatu								
neatuu		NOUN		tomate				
ned								
nede		NOUN		barranca				
nee		VERB	VerbForm=Fin	quería	?-querer-?			
neene		NOUN		guaje				
nenoo								
net								
nete		NOUN		ejote				
neé		VERB	VerbForm=Fin	quiere	?-querer-?			
neés		VERB	VerbForm=Fin	quiere	?-querer-3SG.MSC			
neë								
neñu		VERB		voy a coser	?-coser-?			
neʼe		VERB	VerbForm=Fin	quiero	?-querer-1SG			
neʼe		VERB	VerbForm=Fin	quiere	?-querer-?			
neʼed		VERB	VerbForm=Fin	quieres	?-querer-2SG			
neʼes		VERB	VerbForm=Fin	quiere	?-querer-3SG.MSC			
neʼeñ		VERB	VerbForm=Fin	quiere	?-querer-3SG.HUM			
neʼé		VERB	VerbForm=Fin	quiero	?-querer-1SG			
neʼéd								
neʼë		VERB	VerbForm=Fin	quiero	?-querer-1SG			
neʼëñ								
nguas		VERB	VerbForm=Fin	traer	?-traer-3SG.MSC			
nguay		VERB	VerbForm=Fin	traer	?-traer-?			
nibii		NOUN		papa				
nicha								
nichama		NUM		once				
nichi		NUM		díez				
nichi		VERB	VerbForm=Fin	vi	?-ver-1SG			
nichid		VERB	VerbForm=Fin	viste	?-ver-2SG			
nichis		VERB	VerbForm=Fin	vio	?-ver-?			
nichita		VERB	VerbForm=Fin	vio	?-ver-?			
nichiy		VERB	VerbForm=Fin	vio	?-ver-?			
nichubi		NUM		doce				
niibii								
niichi				ver				
niini		NOUN		guaje				
niku								
nikus		VERB	VerbForm=Fin	vendio	?-vender-3SG.MSC			
ninchii				cocido				
nindamas		VERB	VerbForm=Fin	juntó	?-juntar-3SG.MSC			
nini		NUM	NumType=Card	nueve				
ninjaʼa								
nintubii								
nioʼoo		NOUN		suelo				
niï								
nnintubii				descompuesto				
nnioó								
no	no	ADP		en	LOC			
nobe								
nochi				donde				
nod								
nojobe								
nojoobee								
noo		ADP		en	LOC			
noobe								
nood	kaʼan	VERB	VerbForm=Fin	llegaste	?-?-2SG			
noos								
nooyos								
noy								
noʼo								
noʼo		NOUN		leña				
noʼoo		NOUN		bala				
noʼos		VERB		ir	?-ir-3SG.MSC			
noʼó	kaʼan	VERB	VerbForm=Fin	voy	?-?-1SG			
ntiñu		NOUN		trabajo				
ntu		NOUN		atole				
ntú		NOUN		atole				
nubdamauʼu								
nubi		NOUN		grano				
nubnuni		NOUN		lunar				
nudii		VERB	VerbForm=Fin	se cerró	?-cerrar-?			
nuekueʼen		PRON		todos				
nuko		ADP		con				
nuku	nuku	ADP		con	con			
nukud		NOUN	NounType=Relat	contigo	con-SG2			
nukue'ë				todo				
nukyanti		NOUN		guanábana				
nukyoo		NOUN		membrillo				
nukño'ö		NOUN		brasa				
nukñoʼö								
num								
numiñ								
nun								
nuna		NOUN		pitalla				
nuni		NOUN		agua				
nunkubi		NOUN		agua de lluvia				
nunti		NOUN		delito				
nunyadi		NOUN		refresco				
nunñoʼö		NOUN		mar				
nutbee		NOUN		arete				
nutbii		NOUN		frutas				
nutdiku								
nutdúü								
nutiukuu		NOUN		semilla				
nutnoo		NOUN		ojo				
nutnoos		NOUN		su ojo	ojo-POSS.3SG.MSC			
nutoʼo		NOUN		dedo				
nuttoʼo		NOUN		dedo				
nutyáku								
nutyákuu		NOUN		cebolla				
nutñoo		NOUN		zarzamora				
nutñó		NOUN		zarzamora				
nuuku		NOUN		chirimoya				
nuutii		NOUN		bolita				
nánu		VERB	VerbForm=Fin	lavo	?-lavar-1SG			
néabea								
në		NOUN		mole				
nëe								
nì								
nì				muerto				
níchi		VERB	VerbForm=Fin	vi	?-ver-1SG			
níitu		NOUN		nopal				
nínaa				maduro				
nínii								
nínu	nínu	NOUN		maíz				
nïi		NOUN		chayote				
nó								
nó'o		NOUN		maestro, adobe				
Nóba	Nóba	PROPN		Oaxaca				
nóyota		NOUN		años				
nóó								
nóʼo								
nùni		NOUN		agua				
nùnim								
núku		NOUN		conmigo	con-POSS.1SG			
núni		NOUN		frijol				
núuku		NOUN		vara				
o								
obe		NUM		dos				
pañu		NOUN		rebozo				
poʼo								
pö		NOUN		pan				
raabu		NOUN		mostaza				
rampa				calvo				
ranku								
ranti		NOUN		ruído				
rantiya		NOUN		rodilla				
raʼa								
renke				flaco				
runtíya		NOUN		rodilla				
ráti				rasposo				
sadï		NOUN		mi niño				
sako	sakoo	PRON	PronType=Prs	él	3SG.MSC			
sakon	sakoo	PRON	PronType=Prs	él	3SG.MSC			
sakoo	sakoo	PRON	PronType=Prs	él	3SG.MSC			
sakoon	sakoo	PRON	PronType=Prs	él	3SG.MSC			
sakoó								
sakuiti		NOUN		escarabajo				
sakó	sakoo	PRON	PronType=Prs	él	3SG.MSC			
sakó								
sangoʼoo		NOUN		arriera				
sangáta		NOUN		lobo				
sankubi		NOUN		borracho				
santieʼe		NOUN		autoridades				
santieʼe								
santië		NOUN		presidente				
saíkuu		NOUN		buitre				
si								
si		PRON		eso				
skuela	skuela	NOUN		escuela				
snet				están				
snii		NOUN		sombrero				
snu								
snuni		NOUN		padrino				
snuu								
snuú								
sné								
snï		NOUN		sobrino				
snú								
snúni		NOUN		padrino				
soʼö		NOUN		hombre				
stebe		NOUN		corazón				
sópa				grueso(a)				
taa								
tadii		NOUN		niña				
tadin		NOUN		niña				
tadï		NOUN		niña				
taka								
takabea								
takon	takoo	PRON	PronType=Prs	ella	3SG.FEM			
takoo	takoo	PRON	PronType=Prs	ella	3SG.FEM			
takoó								
tama								
tamoʼo		VERB		abrazar	?-abrazar-?			
tanod		VERB	VerbForm=Fin	sácale	?-sacar-2SG			
tatioo								
tecolote		NOUN		tecolote				
ted		VERB		dame	?-dar-2SG			
ti				ese				
tiaka		NOUN		plátano				
tiba		NOUN		empanada				
tibi		VERB	VerbForm=Fin	fumar	?-fumar-?			
tii								
tiid								
tika		NOUN		ropa				
tikaa		NOUN		mi ropa				
tikoo								
tiku								
tin				ese				
tiudi		NOUN		ratón				
tiäa		NOUN		chicozapote				
tnoʼo								
to				mucho				
to								
toch	tochi	SCONJ		cuando	cuando			
tochi	tochi	SCONJ		cuando	cuando			
too				mucho				
toó								
toó				allí				
toʼo		NOUN		mano				
toʼoo		NOUN		mano				
toʼos		NOUN		su esposa	esposa-POSS.3SG.MSC			
toʼö								
tuma		VERB		cortar	?-cortar-?			
tumaa		VERB		cortar	?-cortar-?			
tumi	tumi	NOUN		dinero				
tusoʼö		NOUN		gallo				
tutoʼö		NOUN		gallina				
tuu		NOUN		piedra				
tuʼu		NOUN		pollo				
tuʼú		NOUN		pollo				
tuʼú								
tíku		NOUN		chapulín				
tíkun		NOUN		chapulín				
tími		NOUN		ombligo				
tíntu		NOUN		colibrí				
tínu								
tíyu		NOUN		tenatillo				
tíñ								
tï		NOUN		cabeza				
tïd		NOUN		tu cabello	cabello-POSS.2SG			
tïi		NOUN		cabeza				
tòò		ADV		ahí				
tö								
töo								
tös								
tös				enojado				
tú		NOUN		pulgada				
túʼu								
un	uu	PRON	PronType=Prs	yo	1SG			
uu	uu	PRON	PronType=Prs	yo	1SG			
ya'a		VERB		duele				
ya'a		NOUN		dolor				
ya'a		VERB		amo	?-amar-?			
ya'aa		NOUN		jícara				
yaaʼa								
yabi		ADV		anoche				
yaca								
yachi		NOUN		masa				
yada		NOUN		pájaro				
yada		NOUN		perro				
yadi				dulce				
yadkuöo		NOUN		canario				
yadnuni		NOUN		pato				
yadyeeko		NOUN		codorniz				
yagii				duele				
yaka		NOUN		pescado				
yakaa		NOUN		ocote				
yaku				alto				
yakun		NOUN		iglesia				
yama		NOUN		zacate				
yami		NOUN		humo				
yana		NOUN		perro				
yana		NOUN		perro				
yanuʼu								
yat kúiyu				sause				
yat								
yata		NOUN		hierba				
yata		NOUN		paloma				
yata		NOUN		pichón				
yati				chindete				
yatneachea		NOUN		escoba de vara				
yaá				está				
yaás								
yaʼa								
yaʼa		VERB		duele				
yaʼaa		NOUN		jícara				
yaʼá								
yeabe								
yeabea				bonito(a)				
yeabean				mucho, muy				
yo'o				culluchi				
yojinu				contento(a)				
yoko		NOUN		tenate para cargar				
yoo				amargo				
yoo				brazada				
yoo kastila		NOUN		sávila				
yoʼo								
yubi				tejón				
yuchii		NOUN		puño				
yuchmee		NOUN		cerebro				
yudi		NOUN		rata				
yudii				arrugado				
yudnoo				barba				
yudnooy		NOUN		barba				
yudu		NOUN		cabello				
yuduu				plano (lugar)				
yukjaʼa		NOUN		chilacayota				
yuku		NOUN		tenate para cargar				
yukuu		NOUN		calabaza				
yuna		NOUN		zorro				
yuni								
yuntu		NOUN		tortilla				
yuta		NOUN		carne				
yuti		NOUN		costra				
yuudu		NOUN		metate				
yuuna		NOUN		aire				
yuuni		NOUN		pasto				
yuunu		NOUN		cigarro				
yàaku		NOUN		mosquito				
yàbi		ADV		anoche				
yàku				apestoso				
yàna		NOUN		red				
yàta		NOUN		hierba				
yába		NOUN		rocas planas				
yába		NOUN		piedra grande				
yába				memela				
yábaa		NOUN		arador				
yábi		VERB		le hablé				
yáda		NOUN		pájaro				
yádi								
yáku		NOUN		iglesia				
yánaa		NOUN		mi perro				
yáta		NOUN		tlacuache				
yáti				simple				
yáʼa				húmedo				
yââ		NOUN		barranco				
yéabea		NOUN		mariposa				
yùni		NOUN		camino				
yúbi		NOUN		mapache				
yúdi		NOUN		elote				
yúdii		NOUN		elote				
yúdu								
yúduu		NOUN		caballo				
yúku		NOUN		lagartija				
yúkuu		NOUN		calabaza				
yúni		NOUN		camino				
yúntu		NOUN		tabla				
yúnuu				tierno				
yúuni		NOUN		camino				
zangáta		NOUN		lobo				
áa				resuena				
át								
áta								
ìkut		VERB		pone	?-poner-?			
íba		NOUN		hilo				
ícha		NOUN		tipo de quelite				
íi		VERB	VerbForm=Fin	echo	?-echar-SG1			
íku	íku	ADV		ayer				
íkùù				hormiga				
íma		NOUN		zorrillo				
ínu		VERB	VerbForm=Fin	mato	?-matar-1SG			
ínuu		NOUN		calor				
íyu		NOUN		pulga				
íñu		NOUN		estrella				
íʼku		NOUN		piojo				
ña								
ñaa		NOUN		vela				
ñaat								
ñana		NOUN		perro				
ñana								
ñaña								
ñañaa		NOUN		coyote				
ñaʼa								
ñe								
ñee								
ñeedin								
ñeeta	ñeʼe	NOUN	NounType=Relat	de ella	base-POSS.3SG.FEM			
ñeeñ								
ñeé								
ñeʼe	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG			
ñeʼed	ñeʼe	NOUN	NounType=Relat	de ti	base-POSS.2SG			
ñeʼen		VERB	VerbForm=Fin	quiere	?-querer-?			
ñeʼeñ	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.HUM			
ñeʼë	ñeʼe	NOUN	NounType=Relat	de mí	base-POSS.1SG			
ñeʼën	ñeʼe	NOUN	NounType=Relat	de mí	base-POSS.1SG			
ñeʼës	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.MSC			
ñeʼëñ	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.HUM			
ñojínu				contento(a)				
ñonútii		NOUN		arena				
ñoo								
ñoo		NOUN		pueblo				
ñoó		NOUN		lumbre				
ñoʼo	ñoʼo	NOUN		árbol				
ñoʼon								
ñoʼon		NOUN		pueblo				
ñoʼoo		NOUN		tierra, barro				
ñoʼó		NOUN		terreno				
ñoʼó								
ñoʼö	ñoʼo	NOUN		árbol				
ñoʼö		NOUN		pueblo				
ñoʼön								
ñu		NOUN		granizo				
ñuu								
ñuu		NOUN		mazorca				
ñuʼüu								
ñëd								
ñëd		NOUN		camisa				
ñëe								
ñëta	ñeʼe	NOUN	NounType=Relat	de ella	base-POSS.3SG.FEM			
ñëʼed	ñeʼe	NOUN	NounType=Relat	de ti	base-POSS.2SG			
ñëʼen								
ñëʼes	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.MSC			
ñëʼeñ	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.HUM			
ñëʼét								
ñò								
ñò		NOUN		espina				
ñòon								
ñó								
ñó		NOUN		pueblo				
ñóngukuu		NOUN		barro				
ñóo								
ñóʼoo		NOUN		barro				
ñöo								
ñú								
ñú		NOUN		mazorca				
ö								
ú	uu	PRON	PronType=Prs	yo	1SG			
üñ								
üñ		VERB		raja	?-rajar-?			
